#dig start(9;9)
 , , , , , ,d,d,d,d,d, , , , , , 
 , , , ,d,d,d,d,d,d,d,d,d, , , , 
 , ,d,d,d,d,d,d,d,d,d,d,d,d,d, , 
 , ,d,d,d,d,d,d,d,d,d,d,d,d,d, , 
 ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, 
 ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, 
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
d,d,d,d,d,d,d,d, ,d,d,d,d,d,d,d,d
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
 ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, 
 ,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d, 
 , ,d,d,d,d,d,d,d,d,d,d,d,d,d, , 
 , ,d,d,d,d,d,d,d,d,d,d,d,d,d, , 
 , , , ,d,d,d,d,d,d,d,d,d, , , , 
 , , , , , ,d,d,d,d,d, , , , , , 
